Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-12,Nashville Predators,Predators,Islanders,0.916,21.03,8.23,71.87,1.87,2.07,47.45,7.56,2.07,78.52
2013-10-12,Toronto Maple Leafs,Maple Leafs,Oilers,0.992,11.02,24.57,30.97,2.77,4.23,39.61,4.52,11.93,27.48
2013-10-12,Tampa Bay Lightning,Lightning,Penguins,1.066,11.74,20.6,36.29,1.89,2.02,48.26,2.93,4.2,41.1
2013-10-12,St Louis Blues,Blues,Rangers,1.001,17.92,14.89,54.61,1.93,1.01,65.57,4.88,6.96,41.18
2013-10-12,Chicago Blackhawks,Blackhawks,Sabres,0.996,22.01,21.79,50.26,0.94,1.01,48.19,11.87,11.11,51.65
2013-10-12,San Jose Sharks,Sharks,Senators,0.995,26.61,7.29,78.49,1.89,1.01,65.11,11.31,2.07,84.54
2013-10-12,Minnesota Wild,Wild,Stars,1.101,27.09,8.66,75.78,2.93,0.0,100.00,8.08,2.98,73.05
2013-10-13,Carolina Hurricanes,Hurricanes,Coyotes,1.009,14.52,25.58,36.2,1.87,3.12,37.41,5.37,11.76,31.36
2013-10-13,Winnipeg Jets,Jets,Devils,1.079,14.9,17.19,46.43,1.93,0.0,100.00,6.9,5.01,57.91
2013-10-13,Florida Panthers,Panthers,Kings,0.89,10.17,25.07,28.86,0.0,3.18,0.00,0.0,12.19,0.0
2013-10-13,Anaheim Ducks,Ducks,Senators,1.058,33.97,29.04,53.91,3.91,1.01,79.39,15.14,12.75,54.27
2013-10-14,Washington Capitals,Capitals,Oilers,1.012,23.1,19.29,54.5,1.91,2.06,48.13,9.8,9.59,50.54
2013-10-14,Boston Bruins,Bruins,Red Wings,0.968,19.12,18.42,50.94,1.87,3.19,37.02,6.36,4.44,58.87
2013-10-14,Buffalo Sabres,Sabres,Wild,1.053,11.8,15.36,43.46,0.92,0.0,100.00,6.28,6.65,48.58
2013-10-15,Carolina Hurricanes,Hurricanes,Blackhawks,1.012,15.8,34.2,31.61,1.87,2.13,46.78,6.99,16.67,29.56
2013-10-15,Detroit Red Wings,Red Wings,Blue Jackets,1.039,14.7,16.98,46.4,0.94,0.0,100.00,3.86,5.01,43.52
2013-10-15,Winnipeg Jets,Jets,Canadiens,0.893,18.32,22.08,45.35,0.0,2.13,0.00,6.08,7.71,44.12
2013-10-15,Philadelphia Flyers,Flyers,Canucks,0.966,16.49,17.35,48.74,1.89,3.08,38.00,3.8,6.27,37.76
