"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2017-10-14 - Blues 1, Lightning 2","Tampa Bay Lightning","Limited ReportFull Report","51.033333333333","69.02","43.4","61.39","40.08","40.06","50.01","29.43","25.87","53.22","1.16","1.19","49.36","1.58","1.56","50.36","24.12","18.04","57.20","9.01","7.35","55.08","8.01","4.86","62.21","1.16","1.22","48.87","14.53","74.96","15.24","10.61","58.94","3.46","2.42","58.83","0","0","-","0.00","100.00","39.88","23.41","63.01","15.91","15.96","49.92","0","0","-","0.00","100.00","3.95","95.39","0.993","19092"
"2017-10-14 - Bruins 6, Coyotes 2","Arizona Coyotes","Limited ReportFull Report","50.516666666667","58.95","70.69","45.47","50.33","48.86","50.74","25.49","31.51","44.72","0","4.97","0.00","1.97","2.94","40.22","20.71","36.17","36.41","13.38","16.24","45.17","6.18","12.16","33.71","0","3.83","0.00","0.00","68.51","7.09","20.22","25.96","3.16","6.49","32.77","0","0","-","0.00","100.00","33.52","27.27","55.14","15","10.27","59.34","0","1.11","0.00","0.00","89.15","0.00","84.22","0.842","14810"
"2017-10-14 - Capitals 2, Flyers 8","Philadelphia Flyers","Limited ReportFull Report","54.25","62.46","44.29","58.51","50","31.83","61.10","38.41","19.64","66.17","6.53","2.23","74.54","2.81","1.34","67.69","25.04","21","54.38","15.55","3.27","82.62","15.77","2.15","88.01","5.34","1.12","82.69","33.84","47.99","9.4","17.04","35.55","5.77","11.58","33.24","1.11","1.1","50.12","19.22","90.47","30.92","20.96","59.60","15.69","5.24","74.95","0","0","-","0.00","100.00","16.99","88.65","1.056","19817"
"2017-10-14 - Devils 3, Rangers 2","New York Rangers","Limited ReportFull Report","41.283333333333","56.29","56.25","50.02","41.7","42.88","49.30","32.52","21.25","60.48","1.37","3.01","31.33","2.1","1.76","54.41","25.23","29.23","46.32","11.85","10.94","52.00","9.29","3.09","75.06","0","1.47","0.00","0.00","52.42","13.17","18.29","41.87","6.86","6.04","53.16","1.38","1.53","47.40","20.09","74.70","26.9","25.72","51.12","14.77","12.04","55.09","0","0","-","0.00","100.00","4.22","85.86","0.901","18006"
"2017-10-14 - Flames 5, Canucks 2","Vancouver Canucks","Limited ReportFull Report","33.916666666667","64.12","49.33","56.52","53.84","38","58.62","39.64","30.01","56.91","3.26","5.63","36.65","3.15","1.7","64.94","39.23","24.61","61.45","14.28","9.7","59.56","12.83","9.64","57.10","0","1.91","0.00","0.00","80.14","24.62","14.94","62.24","19.21","7.28","72.53","3.4","1.86","64.61","17.68","74.43","22.13","21.2","51.07","6.11","11.56","34.57","0","1.98","0.00","0.00","82.91","8.22","81.24","0.895","17074"
"2017-10-14 - Hurricanes 1, Jets 2","Winnipeg Jets","Limited ReportFull Report","46.8","41.83","59.36","41.34","27.9","39.09","41.65","20.26","25.88","43.91","2.42","0","100.00","1.8","1.41","56.10","19.79","23.92","45.27","7.27","6.67","52.16","6.14","1.27","82.86","1.21","0","100.00","19.64","100.00","12.6","17.09","42.44","7.54","9.23","44.95","1.22","0","100.00","16.12","100.00","16.61","28.08","37.16","5.06","13.72","26.94","0","0","-","0.00","100.00","11.94","100.00","1.119","15321"
"2017-10-14 - Islanders 3, Sharks 1","San Jose Sharks","Limited ReportFull Report","49.25","77.29","51.52","60.01","51.67","30.1","63.19","40.25","19.97","66.83","0","2.52","0.00","2.81","1.46","65.77","31.61","16.76","65.35","12.1","5.17","70.08","7.63","2.56","74.85","0","1.23","0.00","0.00","52.00","19.33","11.61","62.48","11.67","8.87","56.82","0","1.28","0.00","0.00","85.55","33.96","20.76","62.07","18.49","7.3","71.71","0","0","-","0.00","100.00","0.00","87.39","0.874","17562"
"2017-10-14 - Maple Leafs 4, Canadiens 3","Montreal Canadiens","Limited ReportFull Report","52.45","52.21","60.05","46.51","38.76","31.65","55.05","32.17","22.21","59.16","2.16","3.52","38.00","1.79","1.56","53.32","16.45","18.95","46.46","8.63","9.39","47.88","7.65","6.95","52.40","1.08","2.31","31.79","14.08","66.73","7.77","9.56","44.83","3.28","3.58","47.85","0","1.2","0.00","0.00","66.38","27.92","29.57","48.56","19.08","8.32","69.64","1.08","0","100.00","5.67","100.00","6.71","84.14","0.908","21302"
"2017-10-14 - Panthers 3, Penguins 4","Pittsburgh Penguins","Limited ReportFull Report","44.483333333333","72.53","66.98","51.99","52.46","61.14","46.18","34.39","46.49","42.52","2.61","2.73","48.82","3.37","3.15","51.68","37.65","27.42","57.86","15.8","15.38","50.67","10.72","11.03","49.27","2.61","1.36","65.66","24.31","87.65","22.09","12.01","64.78","6.72","8.19","45.10","0","0","-","0.00","100.00","25.31","35.92","41.34","12.58","25.37","33.16","0","1.26","0.00","0.00","95.05","7.58","94.12","1.017","18582"
"2017-10-14 - Predators 1, Blackhawks 2","Chicago Blackhawks","Limited ReportFull Report","40.766666666667","53.26","79.83","40.02","33.7","64.19","34.43","25.46","44.26","36.52","1.36","0","100.00","2.15","3.2","40.24","23.73","34.2","40.96","11.01","12.54","46.74","9.75","9.31","51.15","0","0","-","0.00","100.00","12.67","21.68","36.88","7.08","10.79","39.64","1.41","0","100.00","19.96","100.00","19.24","42.82","31.01","8.45","24","26.04","0","0","-","0.00","100.00","5.34","100.00","1.053","21564"
