"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2018-10-22 - Avalanche 4, Flyers 1","Colorado Avalanche","Limited ReportFull Report","49.983333333333","51.2","61.67","45.36","37.35","42.48","46.79","31.81","28.98","52.32","2.55","1.1","69.85","1.94","2.31","45.64","24.01","20.1","54.43","6.75","9.43","41.73","6.75","6.34","51.56","1.29","0","100.00","19.05","100.00","17.52","10.39","62.77","9.07","4.34","67.62","1.25","1.15","51.99","13.76","73.46","21.49","28.29","43.16","12.08","15.85","43.25","0","0","-","0.00","100.00","8.02","96.20","1.042","19326"
"2018-10-22 - Blues 4, Jets 5","St Louis Blues","Limited ReportFull Report","40.183333333333","49.75","59.92","45.36","39.24","46.97","45.52","27.49","31.12","46.90","4.76","2.8","62.98","1.44","1.87","43.45","14.79","16","48.03","8.3","7.89","51.28","3.24","6.59","32.93","1.58","1.37","53.56","48.84","79.21","6.61","7.9","45.54","4.77","6.93","40.79","1.57","0","100.00","32.90","100.00","31.44","38.81","44.75","19.6","17.41","52.97","1.66","1.32","55.70","8.46","92.42","17.32","91.01","1.083","15321"
"2018-10-22 - Capitals 5, Canucks 2","Washington Capitals","Limited ReportFull Report","46.483333333333","54.58","33.04","62.29","42.52","27.86","60.41","29.54","20.99","58.46","1.39","1.19","53.81","3.01","1.43","67.83","35.77","16.08","68.99","14.5","10.29","58.49","10.15","6.84","59.74","1.4","0","100.00","13.76","100.00","21.66","5.58","79.53","11.04","2.33","82.55","0","0","-","0.00","100.00","17.06","12.66","57.39","6.95","10.49","39.84","0","1.15","0.00","0.00","89.06","4.70","94.32","0.990","17227"
"2018-10-22 - Hurricanes 3, Red Wings 1","Carolina Hurricanes","Limited ReportFull Report","48.95","77","32.02","70.63","59.52","24.54","70.81","44.61","17.96","71.29","0","1.17","0.00","3.45","1.5","69.75","37.16","20.1","64.90","17.39","8.72","66.61","14.62","6.53","69.14","0","1.14","0.00","0.00","82.55","20.05","11.3","63.96","6.49","6.92","48.40","0","0","-","0.00","100.00","35.85","7.65","82.41","22.44","1.1","95.32","0","0","-","0.00","100.00","0.00","93.51","0.935","19515"
"2018-10-23 - Bruins 4, Senators 1","Boston Bruins","Limited ReportFull Report","48.566666666667","72.23","56.74","56.01","51.31","38.42","57.18","36.29","25.5","58.73","2.6","0","100.00","2.52","1.83","57.96","27.45","24.25","53.09","7.06","9.71","42.11","5.69","8.72","39.51","0","0","-","0.00","100.00","20.6","14.25","59.10","11.88","2.26","84.00","2.5","0","100.00","21.05","100.00","35.04","26.04","57.36","18.69","13.01","58.97","0","0","-","0.00","100.00","7.17","100.00","1.072","15265"
"2018-10-23 - Coyotes 4, Blue Jackets 1","Arizona Coyotes","Limited ReportFull Report","46.666666666667","58.11","62.52","48.17","43.17","53.1","44.84","31.87","36.78","46.42","4.03","1.21","76.87","2.41","3.7","39.38","24.16","34.39","41.26","11.4","14.6","43.84","11.37","11.31","50.13","2.77","0","100.00","24.35","100.00","12.97","19.48","39.97","5.46","12.97","29.63","1.36","1.22","52.74","24.90","90.60","23.62","22.66","51.03","13.74","12.25","52.86","0","0","-","0.00","100.00","12.65","96.70","1.094","11458"
"2018-10-23 - Ducks 1, Blackhawks 3","Anaheim Ducks","Limited ReportFull Report","42.966666666667","51.15","71.69","41.64","27.89","51.7","35.04","21.01","34.9","37.58","0","1.32","0.00","1.27","2.65","32.32","22.83","30.05","43.18","7.26","12.18","37.35","5.8","5.37","51.91","0","0","-","0.00","100.00","15.4","18.01","46.09","2.87","6.89","29.43","0","1.32","0.00","0.00","80.79","23.06","34.2","40.27","9.4","20.17","31.80","0","0","-","0.00","100.00","0.00","96.22","0.962","20900"
"2018-10-23 - Flames 2, Canadiens 3","Calgary Flames","Limited ReportFull Report","42.566666666667","55.41","53.06","51.08","32.59","41.04","44.26","24.05","35.76","40.21","2.92","1.39","67.69","1.83","2.61","41.27","21.78","25.23","46.33","13.17","12.88","50.56","10.06","11.67","46.30","2.95","0","100.00","29.35","100.00","8.75","12.25","41.66","4.33","5.53","43.94","0","0","-","0.00","100.00","21.07","24.9","45.83","9.79","18.65","34.42","0","1.5","0.00","0.00","91.98","12.14","96.10","1.082","21028"
"2018-10-23 - Kings 2, Stars 4","Los Angeles Kings","Limited ReportFull Report","48.766666666667","64.3","43.86","59.45","46.71","34.39","57.59","29.21","25.48","53.41","2.5","3.59","40.99","1.92","2.09","47.82","25.34","22.18","53.32","9.78","10.92","47.25","7.21","9.89","42.17","2.55","2.38","51.75","35.33","75.98","15.3","11.38","57.34","2.47","6.14","28.68","0","0","-","0.00","100.00","31.74","15.87","66.67","17.81","8.02","68.96","0","1.31","0.00","0.00","83.70","8.54","85.90","0.944","17354"
"2018-10-23 - Panthers 2, Rangers 5","Florida Panthers","Limited ReportFull Report","43.416666666667","69.29","45.3","60.47","50.48","26.58","65.51","39.57","15.49","71.86","1.39","1.36","50.47","3.28","1.38","70.39","35.03","22.04","61.38","20.18","10.72","65.32","17.05","5.48","75.68","1.41","0","100.00","8.29","100.00","14.81","11.4","56.51","6.71","1.42","82.56","0","0","-","0.00","100.00","26.8","22.65","54.19","14.66","8.58","63.07","0","1.48","0.00","0.00","82.80","3.51","91.21","0.947","17016"
