"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-03-17 - Sharks 4, Golden Knights 5","San Jose Sharks","Limited ReportFull Report","45.85","32.97","40.85","44.66","29.8","29.43","50.31","26.65","20.87","56.08","3.14","2.81","52.80","2.69","1.52","63.81","21.01","13.47","60.94","10.52","7.45","58.56","9.31","3.67","71.75","3.15","0.94","76.99","33.84","74.31","10.54","6.03","63.63","8.33","3.94","67.91","0","0","-","0.00","100.00","11.06","25.5","30.25","7.97","12.24","39.44","0","1.84","0.00","0.00","85.00","11.80","86.53","0.983","3473"
"2021-03-18 - Blackhawks 2, Lightning 4","Chicago Blackhawks","Limited ReportFull Report","49.016666666667","27.76","34.15","44.83","22.64","26.13","46.42","16.52","19.31","46.11","0","1.87","0.00","1.37","1.45","48.51","17.89","23.93","42.78","8.63","7.44","53.70","7.5","6.5","53.55","0","1.86","0.00","0.00","71.41","9.3","16.6","35.92","4.16","6.83","37.83","0","0","-","0.00","100.00","10.06","9.77","50.72","4.89","5.74","45.98","0","0","-","0.00","100.00","0.00","90.33","0.903","3800"
"2021-03-18 - Blue Jackets 3, Hurricanes 2","Columbus Blue Jackets","Limited ReportFull Report","52.766666666667","42.97","47.09","47.71","30.69","32.78","48.36","22.43","19.31","53.74","2.07","0.92","69.12","1.61","2.02","44.33","17.78","22.55","44.09","6.38","12.06","34.60","4.15","7.45","35.79","2.07","0","100.00","49.81","100.00","11.37","10.37","52.31","6.12","2.87","68.07","0","0.96","0.00","0.00","66.54","22.43","21.56","50.99","11.15","7.98","58.28","0","0","-","0.00","100.00","9.22","95.22","1.044","2924"
"2021-03-18 - Bruins 4, Sabres 1","Boston Bruins","Limited ReportFull Report","48.9","45.34","35.96","55.77","39.4","30.2","56.61","30.39","17.81","63.05","2.13","0","100.00","1.65","1.44","53.39","19.83","15.85","55.58","4.42","7.75","36.29","3.28","3.4","49.08","2.14","0","100.00","65.24","100.00","15.55","7.88","66.39","9.62","2.74","77.84","0","0","-","0.00","100.00","23.26","18.48","55.72","16.41","9.69","62.88","0","0","-","0.00","100.00","7.02","100.00","1.070","0"
"2021-03-18 - Coyotes 2, Ducks 3","Arizona Coyotes","Limited ReportFull Report","47.55","36.74","48.13","43.29","32.27","35.43","47.67","23.41","24.87","48.49","2.13","1.87","53.22","2.17","1.68","56.27","25.05","19.87","55.77","14.24","8","64.04","13.04","5.4","70.70","1.06","0.92","53.56","8.12","83.01","11.02","11.71","48.48","4.23","4.75","47.11","1.04","0","100.00","24.59","100.00","10.45","23.91","30.41","6.31","12.67","33.24","0","0.88","0.00","0.00","93.03","9.11","92.46","1.016","0"
"2021-03-18 - Flyers 4, Islanders 3","Philadelphia Flyers","Limited ReportFull Report","47.883333333333","50.69","28.32","64.15","34.97","19.62","64.06","27.05","13.7","66.38","4.24","2.79","60.28","1.87","0.9","67.46","22.02","13.25","62.43","9.99","4.27","70.07","7.71","3.44","69.15","2.14","2.75","43.73","27.78","19.87","12.21","8.96","57.68","4.34","4.77","47.68","2.02","0","100.00","46.60","100.00","22.07","12.38","64.06","12.98","5.42","70.55","0","0","-","0.00","100.00","15.67","79.62","0.953","1400"
"2021-03-18 - Jets 1, Oilers 2","Winnipeg Jets","Limited ReportFull Report","54.35","41.31","39.63","51.04","31.89","28.31","52.97","20.96","20.32","50.77","1.01","1.89","34.89","1.85","1.42","56.66","16.35","16.71","49.46","7.33","2.93","71.45","4.15","2.96","58.36","1.01","0","100.00","24.32","100.00","8.96","13.98","39.06","3.06","9.87","23.67","0","1.9","0.00","0.00","80.79","22.3","20.59","52.00","13.47","7.45","64.40","0","0","-","0.00","100.00","4.83","90.71","0.955","0"
"2021-03-18 - Penguins 2, Devils 3","Pittsburgh Penguins","Limited ReportFull Report","54.633333333333","54.7","66.34","45.19","46.26","45.32","50.51","34.03","35.21","49.15","0","1.93","0.00","3.12","2.17","58.98","28.33","29.43","49.05","11.94","8.96","57.14","9.82","7","58.38","0","0.96","0.00","0.00","86.23","16.06","20.89","43.47","11.71","9.98","53.98","0","0","-","0.00","100.00","25.47","32.65","43.82","11.57","17.33","40.04","0","0.95","0.00","0.00","94.54","0.00","94.52","0.945","1800"
"2021-03-18 - Predators 2, Panthers 1","Nashville Predators","Limited ReportFull Report","50.3","38.39","54.75","41.22","30.06","46.26","39.39","23.78","32.97","41.90","2.07","0.94","68.67","2.54","2.53","50.15","18.11","23.6","43.43","10.68","9.49","52.95","9.54","6.75","58.56","1.01","0.94","51.76","10.59","86.05","7.58","14.01","35.09","4.2","10.56","28.45","1.05","0","100.00","25.05","100.00","17.14","29.14","37.03","10.04","15.7","39.02","0","0","-","0.00","100.00","8.70","97.14","1.058","4559"
"2021-03-18 - Stars 2, Red Wings 3","Dallas Stars","Limited ReportFull Report","47.533333333333","40.87","33.99","54.60","35.77","25.13","58.74","29.84","14.8","66.84","1","1.97","33.72","2.02","1.74","53.66","21.76","16.36","57.08","10.11","9","52.90","7.95","6.07","56.68","1.02","0.96","51.46","12.86","84.12","11.52","7.42","60.82","8.93","4.07","68.68","0","0","-","0.00","100.00","18.97","15.9","54.40","12.07","4.47","72.95","0","1.06","0.00","0.00","76.27","3.37","86.66","0.900","0"
