"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO","Attendance"
"2021-04-28 - Blues 4, Wild 3","Minnesota Wild","Limited ReportFull Report","57","55.23","52.22","51.40","43.2","40.88","51.38","28.82","28.08","50.65","2.92","2.07","58.55","2.57","1.61","61.54","27.16","17.3","61.09","12.02","3.13","79.32","6.12","3.1","66.38","0.99","2.07","32.36","16.18","33.25","15.26","13.87","52.39","8.95","8.12","52.44","0","0","-","0.00","100.00","27.2","29.37","48.08","13.77","15.69","46.73","2.01","0","100.00","14.59","100.00","10.14","92.63","1.028","3000"
"2021-04-28 - Canucks 3, Senators 6","Ottawa Senators","Limited ReportFull Report","48.933333333333","59.56","33.8","63.80","44.82","25.32","63.90","28.57","17.08","62.59","4.89","3.01","61.87","2.49","0.96","72.25","27.73","10.45","72.63","9.04","7.83","53.59","7.06","2.88","71.04","2.9","0","100.00","41.04","100.00","19.08","2.69","87.65","9.26","1.88","83.13","0.98","1","49.48","10.55","46.89","26.52","20.07","56.91","10.05","11.98","45.63","1.07","1.88","36.25","10.63","84.32","17.11","82.36","0.995","0"
"2021-04-28 - Coyotes 2, Sharks 4","San Jose Sharks","Limited ReportFull Report","45.3","36.92","38.32","49.08","29.09","26.67","52.17","25.95","20.99","55.27","2.92","1.01","74.20","2.31","1.44","61.57","26.19","13.81","65.48","12.96","5.99","68.39","11.08","3.95","73.73","2.9","1.04","73.66","26.13","73.77","13.31","7.69","63.39","9.97","5.92","62.74","0","0","-","0.00","100.00","9.7","21.11","31.50","4.36","10.86","28.67","0","0","-","0.00","100.00","11.25","95.17","1.064","1037"
"2021-04-28 - Ducks 3, Kings 2","Los Angeles Kings","Limited ReportFull Report","46.316666666667","38.52","40.42","48.80","26.6","34.52","43.53","22.73","20.21","52.94","0","3.08","0.00","1.19","1.56","43.26","19.14","18.49","50.86","5.61","7.26","43.60","3.78","5.13","42.46","0","1.04","0.00","0.00","79.80","13.63","11.15","55.01","7.82","7.15","52.25","0","2.11","0.00","0.00","70.48","18.19","18.16","50.04","10.22","5.99","63.05","0","0","-","0.00","100.00","0.00","84.75","0.848","1763"
"2021-04-28 - Maple Leafs 4, Canadiens 1","Montreal Canadiens","Limited ReportFull Report","51.35","41","41.59","49.64","25.58","31.92","44.49","21.42","24.93","46.22","0.92","3.17","22.42","1.11","1.46","43.29","25.03","18.03","58.12","3.38","7.9","29.98","2.5","6.79","26.90","0","1.07","0.00","0.00","84.23","21.14","10.31","67.22","8.96","6.58","57.65","0","1.04","0.00","0.00","84.21","12.46","18.7","39.99","7.46","10.58","41.37","0.88","1.12","44.14","11.82","89.45","4.28","87.27","0.915","0"
"2021-04-28 - Oilers 3, Jets 1","Winnipeg Jets","Limited ReportFull Report","51.5","39.72","52.64","43.01","31.93","31.47","50.36","23.91","22.62","51.39","0.92","0","100.00","1.97","2.37","45.45","19.92","31.71","38.58","6.28","12.24","33.93","4.55","11.07","29.13","0","0","-","0.00","100.00","13.39","19.71","40.46","7.47","7.42","50.18","0.96","0","100.00","12.86","100.00","16.31","13.05","55.55","9.97","4.23","70.22","0","0","-","0.00","100.00","3.86","100.00","1.039","0"
"2021-04-29 - Blues 5, Wild 4","Minnesota Wild","Limited ReportFull Report","53.566666666667","45","40.41","52.69","29.89","31.15","48.97","22.97","17.61","56.60","2.82","2.11","57.25","1.1","1.41","43.67","13.03","20.08","39.34","5.2","6.75","43.48","4.32","2.19","66.43","0","1.06","0.00","0.00","51.57","7.63","13.56","36.01","5.4","4.32","55.54","1.99","0.97","67.16","36.84","77.50","26.2","17.83","59.51","13.09","10.11","56.43","0.88","0","100.00","6.75","100.00","12.28","88.04","1.003","3000"
"2021-04-29 - Canucks 1, Maple Leafs 4","Toronto Maple Leafs","Limited ReportFull Report","54.233333333333","56.74","37.14","60.44","40.33","24.52","62.19","25.25","12.19","67.43","3.9","0","100.00","3","1.2","71.41","36.21","23.65","60.48","14.8","4.91","75.09","11.98","1.9","86.30","2.9","0","100.00","24.17","100.00","21.69","18.28","54.26","8.26","5.92","58.26","0","0","-","0.00","100.00","18.29","12.6","59.22","4.58","2.6","63.76","1.07","0","100.00","23.33","100.00","15.46","100.00","1.155","0"
"2021-04-29 - Flames 3, Oilers 1","Edmonton Oilers","Limited ReportFull Report","49.85","38.07","53.63","41.52","28.23","35.7","44.15","21.91","26.96","44.84","0.92","3.19","22.46","1.43","2","41.74","15.47","24.05","39.15","6.22","11.02","36.08","6.25","8.79","41.55","0","2.14","0.00","0.00","75.64","9.15","13.29","40.79","5.66","4.27","56.99","0","1.05","0.00","0.00","75.36","18.98","24","44.16","9.84","11.9","45.25","0.89","0","100.00","9.04","100.00","4.22","88.17","0.924","0"
"2021-04-29 - Flyers 3, Devils 5","New Jersey Devils","Limited ReportFull Report","48.633333333333","32.29","43.72","42.48","22.68","31.49","41.86","13.43","19.09","41.30","1.98","1.01","66.09","1.2","1.65","42.18","18.05","24.85","42.07","5","5.03","49.87","3.04","3.02","50.19","0.99","1.04","48.87","32.53","65.70","13.29","19.44","40.60","2.99","6.93","30.16","0.94","0","100.00","31.46","100.00","13.66","18.73","42.17","7.5","8.09","48.13","0","0","-","0.00","100.00","14.72","94.69","1.094","3600"
