Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-11,Pittsburgh Penguins,Panthers,Penguins,0.918,22.86,18.84,54.82,3.04,3.86,44.03,10.11,7.88,56.19
2013-10-11,Dallas Stars,Jets,Stars,1.079,21.35,19.56,52.18,2.13,0.0,100.00,12.57,9.09,58.03
2013-10-12,Colorado Avalanche,Capitals,Avalanche,1.118,16.81,29.63,36.2,3.22,0.92,77.81,5.67,13.91,28.95
2013-10-12,Boston Bruins,Blue Jackets,Bruins,1.072,19.88,21.8,47.7,2.07,0.0,100.00,9.45,6.64,58.75
2013-10-12,Montreal Canadiens,Canucks,Canadiens,0.994,26.62,21.46,55.36,1.05,0.92,53.17,15.59,8.81,63.9
2013-10-12,Philadelphia Flyers,Red Wings,Flyers,1.013,19.0,8.99,67.89,2.03,0.99,67.24,9.12,2.93,75.69
2013-10-12,New York Islanders,Predators,Islanders,1.084,8.23,21.03,28.13,2.07,1.87,52.55,2.07,7.56,21.48
2013-10-12,Edmonton Oilers,Maple Leafs,Oilers,1.008,24.57,11.02,69.03,4.23,2.77,60.39,11.93,4.52,72.52
2013-10-12,Pittsburgh Penguins,Lightning,Penguins,0.934,20.6,11.74,63.71,2.02,1.89,51.74,4.2,2.93,58.9
2013-10-12,New York Rangers,Blues,Rangers,0.999,14.89,17.92,45.39,1.01,1.93,34.43,6.96,4.88,58.82
2013-10-12,Buffalo Sabres,Blackhawks,Sabres,1.004,21.79,22.01,49.74,1.01,0.94,51.81,11.11,11.87,48.35
2013-10-12,Ottawa Senators,Sharks,Senators,1.005,7.29,26.61,21.51,1.01,1.89,34.89,2.07,11.31,15.46
2013-10-12,Dallas Stars,Wild,Stars,0.899,8.66,27.09,24.22,0.0,2.93,0.00,2.98,8.08,26.95
2013-10-13,Arizona Coyotes,Hurricanes,Coyotes,0.991,25.58,14.52,63.8,3.12,1.87,62.59,11.76,5.37,68.64
2013-10-13,New Jersey Devils,Jets,Devils,0.921,17.19,14.9,53.57,0.0,1.93,0.00,5.01,6.9,42.09
2013-10-13,Los Angeles Kings,Panthers,Kings,1.11,25.07,10.17,71.14,3.18,0.0,100.00,12.19,0.0,100.0
2013-10-13,Ottawa Senators,Ducks,Senators,0.942,29.04,33.97,46.09,1.01,3.91,20.61,12.75,15.14,45.73
2013-10-14,Edmonton Oilers,Capitals,Oilers,0.988,19.29,23.1,45.5,2.06,1.91,51.87,9.59,9.8,49.46
2013-10-14,Detroit Red Wings,Bruins,Red Wings,1.032,18.42,19.12,49.06,3.19,1.87,62.98,4.44,6.36,41.13
2013-10-14,Minnesota Wild,Sabres,Wild,0.947,15.36,11.8,56.54,0.0,0.92,0.00,6.65,6.28,51.42
2013-10-15,Chicago Blackhawks,Hurricanes,Blackhawks,0.988,34.2,15.8,68.39,2.13,1.87,53.22,16.67,6.99,70.44
2013-10-15,Columbus Blue Jackets,Red Wings,Blue Jackets,0.961,16.98,14.7,53.6,0.0,0.94,0.00,5.01,3.86,56.48
2013-10-15,Montreal Canadiens,Jets,Canadiens,1.107,22.08,18.32,54.65,2.13,0.0,100.00,7.71,6.08,55.88
2013-10-15,Vancouver Canucks,Flyers,Canucks,1.034,17.35,16.49,51.26,3.08,1.89,62.00,6.27,3.8,62.24
2013-10-15,Los Angeles Kings,Lightning,Kings,0.866,17.49,18.49,48.62,1.0,3.91,20.42,3.96,7.09,35.83
2013-10-15,Edmonton Oilers,Penguins,Oilers,1.054,22.32,14.7,60.3,2.02,1.89,51.74,12.22,6.67,64.7
2013-10-15,Florida Panthers,Predators,Panthers,1.046,15.37,20.72,42.58,3.04,2.83,51.76,4.2,11.42,26.88
2013-10-15,Buffalo Sabres,Islanders,Sabres,1.031,29.72,35.84,45.33,2.02,1.89,51.74,14.48,18.07,44.48
2013-10-15,Ottawa Senators,Coyotes,Senators,1.011,20.4,22.03,48.08,2.03,1.93,51.18,7.04,5.62,55.61
2013-10-15,San Jose Sharks,Blues,Sharks,0.995,24.9,20.32,55.07,3.21,1.83,63.67,10.25,2.51,80.31
2013-10-15,Dallas Stars,Avalanche,Stars,0.952,14.47,16.43,46.83,1.06,1.87,36.13,11.52,4.86,70.32
2013-10-15,Minnesota Wild,Maple Leafs,Wild,0.896,18.57,9.29,66.66,0.0,0.99,0.00,3.98,2.02,66.32
2013-10-16,Calgary Flames,Ducks,Flames,0.838,18.86,18.91,49.94,1.01,2.92,25.78,11.04,9.86,52.81
2013-10-16,New York Rangers,Capitals,Rangers,1.036,26.89,16.33,62.22,1.08,0.0,100.00,9.84,3.61,73.16
2013-10-17,Columbus Blue Jackets,Canadiens,Blue Jackets,0.975,22.02,13.93,61.25,1.01,1.93,34.43,13.35,6.9,65.94
2013-10-17,St Louis Blues,Blackhawks,Blues,0.951,14.57,14.33,50.42,1.01,1.89,34.89,6.33,4.74,57.2
2013-10-17,Boston Bruins,Panthers,Bruins,1.014,26.22,16.24,61.75,2.11,0.92,69.58,10.91,8.89,55.11
2013-10-17,Vancouver Canucks,Sabres,Canucks,1.078,17.68,12.64,58.32,2.11,0.0,100.00,5.51,5.3,50.97
2013-10-17,New Jersey Devils,Senators,Devils,0.81,22.41,9.32,70.63,1.01,3.91,20.61,12.88,6.08,67.94
